Users,Comments,Labels
Azfar Khaan,chor,Angry
Azhar Mahmood,chor,Angry
Aziz Khan,Lanat,Angry
Babar Waseem,chor,Angry
BabEr ALi Khan,chor,Angry
BabEr ALi Khan,chor,Angry
Baber Aziz,chor,Angry
Badlay Ga Pakistan,"Our country is being pushed towards Martial Law by criticising the democratic institutes, there should be a strictÖ https://t.co/FWrAiBdC3J",Angry
Baseer Ullah,chor,Angry
Bashir N.,chor,Angry
Bashir Nichari,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Bilal Ahmed,Chal Jhooti !!,Angry
Bilal Ahmed,chor,Angry
Bilal Iftihkar,chor,Angry
Bushra Mushtaq,chor,Angry
Ch Wasim,Lanti insan hai yar ye in begerton ko aesi baty karty b shram nai ati kis mu se ye bat kar lety hain sath wo choi b khari hai chwal chooor lanti,Angry
Ch Wasim,Munafiq loog lanti,Angry
Ch Wasim,Yar kui isy goli mar dy kuty ki shkal waly ko,Angry
Ch Wasim,Yar me jab b is saly ki shkal dekhta hon na muky khod bakhod galiy nikalti hain dari rakh k b aese kam karta hai ye lanti,Angry
Ch Zia,Lanti insan dhari ke roop main sheitan ha yeh insan,Angry
Chandio Bashir,chor,Angry
Chaudary Talal Ausaf,chor,Angry
Chaudhary Akram,Lanat f,Angry
Chaudhry Shahid,lanti,Angry
Css Challenger,chor,Angry
D Sher Sultan,chor,Angry
D Sher Sultan,chor,Angry
Danial Ahmad,chor,Angry
Danish Khan,Be ghairat,Angry
Danish Khan,chor,Angry
Danish Shakil,chor,Angry
Daud Mazhar,RT @arifjamallodhi: Deceiving his base minions by showing them his affinity for the #Taliban ; Molana #FazlurRehman is found involved earniÖ,Angry
Dawn New,chor,Angry
Dildar Shah,Desal harame,Angry
Dildar Shah,Lanat ho jui par,Angry
DJ Butt Official,"RT @_Mansoor_Ali: [EXCLUSIVE] Why Imran Khan is Angry with DJ Butt? | Shocking details of FIR | Mansoor Ali Khan

https://t.co/QN5YnCv60hÖ",Angry
DJ Butt Official,"RT @_Mansoor_Ali: [EXCLUSIVE] Why Imran Khan is Angry with DJ Butt? | Shocking details of FIR | Mansoor Ali Khan

https://t.co/QN5YnCv60hÖ",Angry
DR KHAN,"InshaAllah Confession in Foreign Funding Case will Prove Last Nail in Tabdeeli &amp; Imran,s Political Coffin ??.
WaitÖ https://t.co/5cnKue1QuQ",Angry
Dr Pashtun Ghadar,"RT @Noor1nsafian: The killer Rao Anwar is still roaming freely in state protocol.
#Justice4NaqibMehsud 
#PDM
#TumKharayThay
@BBhuttoZardariÖ",Angry
Dr Syed Hassan Amin,#PDM and specially noon league wants to drag military into politics by calling for army led overthrow ofÖ https://t.co/gZVqoi2rZI,Angry
Dr. Asma,"Power does not corrupt the people,people corrupt power. Therefore corruption does not wins more then honesty..Ö https://t.co/CsNG8ZQFwW",Angry
Dure Nayab,chor,Angry
Ebrar Khattak,chor,Angry
Ehmer Mughal,chor,Angry
Ehmer Mughal,chor,Angry
Ehtisham Ul Haq,Cheekhti raho koi nahi sune ga chorni,Angry
Elif Nur,chor,Angry
Elyas John,chor,Angry
Emran Khaan,chor,Angry
EN Kay,chor,Angry
engr Umer Farooq???????,"RT @faseehudeen01: Boht ho gaya #CorruptImranKhan ka trend.??
No more silence
Lets start #ro_pdm_ro trend????

#IqrarulHassan #WeSupportIqrarÖ",Angry
F@isal,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption iÖ",Angry
fahad h kandhro???? ????,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Fahad Khan,A dacoit who is out on bail is giving us lectures on democracy. It's a shame that we had to go through this curse of dynastic politics. A woman with absolutely zero credibility is trying to get the attention.,Angry
Fahad Qadri,chor,Angry
Fai Sal Malik,Chor,Angry
Faisal Chishti,chor,Angry
Faisal Hayat,Choro ke suno Chor jutey pmln ppp pdm Chor,Angry
Faisal Khan,Chut mrwo,Angry
Faisal Khan,Gando,Angry
Faisal Ladak,Fauj ke talwe chatne wale ARY new media,Angry
Faizan A. Khan,chor,Angry
Faizan Arif,Chorni,Angry
Fakher Emran,chor,Angry
Fakhr E Alam Khilji,Ary waalo tum log ghaddaronko ko promot kiyo kerrahe ho ghaddaar kaa saath dene waala bhi ghaddaar hotaa hai aqal karo,Angry
Fareeha Junaid,chor,Angry
Farhan Shah,chor,Angry
Farid Khan,chor,Angry
Farid Khan,Diesel taba da,Angry
Fatima Ch,chor,Angry
Fawad Ali,chor,Angry
Fazal Khan,Dezel and qatri nani,Angry
Fazal Khan,Haram khoro ka sardar,Angry
Fazal Khan,Munafiqeeno ka tola,Angry
Feeda Mhd,chor,Angry
Fiaq Ahmad,How this lady gets the courage to criticize IK for taking loans to help with the economic situation of Pakistan which has been financially bankrupted by her father and her uncleís through their criminal activities of siphoning out financial resourcesÖ,Angry
Fiaz Rajput,chor,Angry
Firah Bhatti,Chutya salacomedy show chal rha hy,Angry
Foramen Luschka,chor party.... looters,Angry
Fouzi Shafiq,Apnee izzat par samjhoo,Angry
Gaz Khan #SaveKashmirSaveLives,"@ImranKhanPTI Agreed. Where is the money the Prime Minister promised he will bring back to Pakistan. The truth is,Ö https://t.co/3kDoLJvYLh",Angry
Ghayas Ali Hashmi,chor,Angry
Ghayas Ali Hashmi,Criminal,Angry
Ghufran Farooqi,Chal jhothi Nani 420.,Angry
Gohar Nayab,chor,Angry
Gul Ahmed,"All these are talking about democracy. Why is it that there are very senior and seasoned politicians in PPP and PMLN but they have to stand with respect behind these kids, Bilawal and Marium Nawaz. This is not democracy. If Benazir got shot or Nawaz ShÖ",Angry
Gul Wahab,Lanati choor,Angry
Hafiz Khalid Hussain,DAWN gutter,Angry
Haider Sajjad,Chore,Angry
Hamza Baloch,How this fraud woman lies about everything. She has no shame.,Angry
Hamza Khan,Fazloo jahan teri shakal aye gi wahan freshness kesay aye gi,Angry
Hamza Rehman,"Abu bachao Pakistan ko bech do , Nani Qatari ,",Angry
Haris Samad,Chor,Angry
Haris Samad,Chorni,Angry
Haroon Malik,Chor,Angry
Hasan Rizvi,chor,Angry
Hassam Malik,chor,Angry
Hassan Saeed Siddiqui,According to the constitution you are an absconder,Angry
Hassan Shaikh,haramiyon ka channel jo in choron ko promote karta hai ye chor khud foriegn funding le rahe hain kitne salon se inka bhi hisab hona chahiye chor daku lootere hain sab k sab ALLAH TALA in sab par apna sakht azab nazil kare inhe naist o naboot kare amee‚Ä¶,Angry
Hazara Grenade,They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stuÖ https://t.co/hFHlkRtOFU,Angry
Hazara Grenade,They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stuÖ https://t.co/hFHlkRtOFU,Angry
Hi moon,RT @arifjamallodhi: Deceiving his base minions by showing them his affinity for the #Taliban ; Molana #FazlurRehman is found involved earniÖ,Angry
Hizar Hayat,chor,Angry
Humaira Asadulla,chor,Angry
Hunain Ali,chor,Angry
Hussain Khan,chor,Angry
Huzaifah Bukhari,chor,Angry
IDEAL GRP,"Product data management (PDM) can bring together the product data, people, and processes that are most essential toÖ https://t.co/tdzGaA3Hb9",Angry
Iftikhar Ashraf,chor,Angry
Iftikhar Ud Din,chor,Angry
Ijaz Khan,chor,Angry
Ikhlaq Wazir,Choor,Angry
Ikram Malik,chor,Angry
Ikram Malik,chor,Angry
Ilyas Gujjar,Lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati lanati,Angry
Ilyas Khan,chor,Angry
Imran Khan,Baighairat apurat phaly apny courrpt baap ko wapis lao,Angry
Imran Sagger,Kuttay ⁄©ÿß ÿ®⁄Ü€Å,Angry
Intikhab Alam,A nexus of decoits,Angry
Intruder,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Iram Bilal,chor,Angry
Irfan Ali Kaheri,Go to Hazara if people's lives matter to you more than your petty politics!!!,Angry
Irfan Jilani ô,"RT @mmnewsdottv: Article by:@SrasheedSalman

The state needs to act regarding PDM hate speech before violence erupts in the streets of thisÖ",Angry
Irfan Khan,chor,Angry
Irfan Khan,Choooro ka sardar fazal Rehman ghadar,Angry
Irfan Khan,Choooro ka sardar fazal Rehman ghadar,Angry
Irfan Khan,Khatme is k ghadru k yaar fazal Rehman ghadar fazal ghadar,Angry
Irfan Rafiq,chor,Angry
Irfan Rashid,chor,Angry
Irum Khan,Fauj ke talwe chatne wale ARY new media,Angry
Ishaq Siddiq,Expired mix achaar Pakistan Dakoo Mela (PDM),Angry
J Khan,chor,Angry
Jahanzeb Kadir,Bhai apni gender ka elaj kwrwaly pehly,Angry
Jalal Mughal,chor,Angry
Jam Mushtaq Ahmad,chor,Angry
Jamal Wathra,chor,Angry
Jamil Asghar Butt,History will always curse on you cz of your activities during pandemic.,Angry
Jamil Bhatti,chor,Angry
Jamil Mughal,Chur niazi go niazi,Angry
Jamshed Jamshed,Desel mangi hai bolo desel,Angry
Jamshed Jamshed,Kanjer muli,Angry
Jamshed Jamshed,Shetan mula,Angry
Jani Jani,Fzlo lanti,Angry
Javed Ahmed Khan,chor,Angry
Javed Cheema,Gandooopp,Angry
Javed Nayab Laghari,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Javidiqbal Mohammad,Bakwas band kar kameny,Angry
Jawad Khan,chor,Angry
Jazib Saddozai,Chor,Angry
Jibran Ali Ali,Es country ka Sab say bara KUTA,Angry
Jibran Ali Ali,Gaaando,Angry
Juhaina Bajwa,"Naqeebullah Mehsud, a 27 yr old man was killed in a fake encounter 3 yrs ago by SSP Lahore, Rao Anwar. Framing an iÖ https://t.co/sOm0aEH2yO",Angry
Junaid Naeem,chor,Angry
Junaid Saleh Ghanjera,Barks like a stray dog,Angry
Junied Shaikh,chor,Angry
Kaleem Khan,chor,Angry
Kamran Farooq,chor,Angry
Kamran Khan,Chor,Angry
Karamat Ali,Lanat pti pur,Angry
Karim Hunzai ????????,Corrupt political family parties and it's rented workers will not question these big issues distroyed our billion dÖ https://t.co/ZuA5Qjff7s,Angry
Kashif Abbas,chor,Angry
Kee Dee,Her waqat bhunkta hai,Angry
Khadim Zahoor,chor,Angry
Khalid Abbas,chor,Angry
Khan Muhammad Lashari,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Khan Shahi,Chor,Angry
Khanday Yousuf,chor,Angry
Khawaja Hamza,Chorni,Angry
Khurram Waheed,Cheekho cheekho Daku ki Rani. Chekho. Jitni marzi hai cheekho. Noon league ka jinaza nikla be aur dafan be huwa. Loota huwi dowlat waps kero.,Angry
Khyal E Yar,chor,Angry
Leaks Lii,chor,Angry
Lubna Asghar,chor,Angry
Lubna Khan,Chal jhooti baji,Angry
Luqman Ehmad,digital khusre,Angry
M Ahsan,chor,Angry
M R Ismail,chor,Angry
M Shayan Sami,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption iÖ",Angry
M Usama Kabbir,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
M. HaMza Salarzai,chor,Angry
Maaz Khan,History will always curse on you cz of your activities during pandemic.,Angry
Maham Zupash Kamran,"#fazlulrehman should be stripped of his titles. He's using them to create chaos in the country. What a shame.
#Pakistan #PDM",Angry
Mahar Kaleem Ullah Haral,"Maulana's assets are not hidden anymore: Murad Saeed
MuradSaeed #FazalUrRehman #NAB #PDM #Islamabad Maulana's assetÖ https://t.co/UKsU39nfUJ",Angry
Maher Adeel,Chorni tum ulta bhi latak lo Imran Khan ka kuch nhi bigar sakti. Tum hamesha dhakay khayo gi chorni,Angry
Maher Adeel,Chuloo bhar paani me doob maro,Angry
Mahvash Wali,Chor,Angry
Mahvash Wali,chor,Angry
Majid Ali,chor,Angry
Majid Khurshid,Garbage,Angry
Malak Aftab Kasi,chor,Angry
Malik Aurangzaib,chor,Angry
Malik Aurangzaib,chor,Angry
Malik Aurangzaib,chor,Angry
Malik Shahbaz Sappal,Ye shakal see Kia lgta hai khabees,Angry
Manan Manan,Chor,Angry
Mannan Ahmed Khan,Chor,Angry
Mansoor Kaleem,Fazal ur Rehman has no shame,Angry
Marium,RT @zaaraZAK: To whom it may concern! ! #PDM #PDMJalsa ??? Ooops!!! https://t.co/W89I5vc3pt,Angry
Masood Mirza,chor,Angry
Maxhar Subhan,Chorni,Angry
Mazhar Shahzad Ch,chor,Angry
Mehar Shahid,chor,Angry
Mehar Wali Shah,chor,Angry
Mehboob Qadir,RT @mawish_m: 'The state needs to act regarding PDM hate speech before violence erupts in the streets of this country' writes @SrasheedSalmÖ,Angry
Mian Xubair,chor,Angry
Mir Afzal Khattak,How this fraud woman lies about everything. She has no shame.,Angry
Mir Ali,A true shameless lady with no dignity,Angry
Mir Aman Shah,Blawal Hraam ki Aolaad,Angry
Mir Sadam Balhro????,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Mirwais Khan,chorni nageen,Angry
Mirza Afzal,Chor,Angry
Misbah Ulhaq,chor,Angry
MJ Khurshid,Chornii,Angry
Mkioottrtwmsvcjthbr Hruru Uejaugwfmurjbhduhc,Lante. Mala,Angry
Mohammad Ahmed,chor,Angry
Mohammad Iqbal,LantiPti,Angry
Mohammad Irfaan Dar,Bechara pagal,Angry
MohammadAmin Munshi,Chat khao aur buk buk kartay raho,Angry
MohammadAmin Munshi,chor,Angry
MohammadAmin Munshi,chor,Angry
Mohammed Asif Butt,Munafiq diesel,Angry
Mohammed Hamid,Lanti lorg...pakistan dakoo movement,Angry
Moin Ahmad,chor,Angry
Moin Ahmad,chor,Angry
Monica Malik,Imran Khan said he would not beg IMF. Now IMF is dictating further increase in power Tariff by 2 Rupees. Expect hikÖ https://t.co/JngaBidYNp,Angry
Moomin Ahad Wani,Dirty politicians.,Angry
Mosam shinwari,"RT @Noor1nsafian: The killer Rao Anwar is still roaming freely in state protocol.
#Justice4NaqibMehsud 
#PDM
#TumKharayThay
@BBhuttoZardariÖ",Angry
Mrs.Raza,"RT @appcsocialmedia: Law to take action if #PDM protest goes against law; @Farogh_NaseemPK 

#APPNews 

https://t.co/Ig6y50YEC6 https://t.Ö",Angry
Mubashar Shahzad,"#Indians, Ani-Pakistanis, #PMLN and #PPP and #PDM and Modi-Media altogether are tweeting #????_????_??? and standinÖ https://t.co/SRIcd0cSVb",Angry
Mudassar Ghafoor,chor,Angry
Muhammad Abid Mughal,Lannat,Angry
Muhammad Ahmad,Be ghrat inn py b shaliing kro,Angry
Muhammad Ahmed,chor,Angry
Muhammad Akbar,Dogs,Angry
Muhammad Ali,chor,Angry
Muhammad Asim,chor,Angry
Muhammad Asim,Fazloooo Fazole ko koi cleaning ki hi ministry day doo,Angry
Muhammad Asim Abbasi,chor,Angry
Muhammad Aslam ????,"RT @Ch_Minahal: #PakistanRejectsPDM
I am addressing Manahel Chaudhry Indian mothers, sisters and brothers, just as Modi killed your familyÖ",Angry
Muhammad Ghulam,Lanat ho tum per,Angry
Muhammad Haleem,chor,Angry
Muhammad Haseeb Khan,chor,Angry
Muhammad Ilyas,chor,Angry
Muhammad Imran Rafi,"Because of imbeciles like him, the principles of our religion are compromised! Ask him any question related to our religion, he will bluber like an idiot!",Angry
Muhammad Iqbal,chor,Angry
Muhammad Iqbal,kutta disal,Angry
Muhammad Irfan,Daughter of Daaku,Angry
Muhammad Irfan Muhammad Itfan,Munafiq diesal,Angry
Muhammad Irshad,Desiel.choor. rooz nayee baat buna laita hay,Angry
Muhammad Irshad,Fazloow apna hisaab daaay,Angry
Muhammad Ishaq Khan,chor,Angry
Muhammad Jahangir,chor,Angry
Muhammad Masood,"Dear Lady Chorni, Please add something new in the script.",Angry
Muhammad Noman,Gadhy k khuwab me ghass,Angry
Muhammad Rafay Afaq,Chor,Angry
Muhammad Riaz Khan,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Muhammad Sabir,Chor,Angry
Muhammad Sarfaraz,RT @NawabAliKhan7: When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmood AsÖ,Angry
Muhammad Sarfraz,Jaa laanatt tery marny tak,Angry
Muhammad Shahzad,chor,Angry
Muhammad Sheraz,chor,Angry
Muhammad Shoaib Aslam,Chor,Angry
Muhammad Talha,Chal jhooti Qatari khat!! ????,Angry
Muhammad Tariq,chor,Angry
Muhammad Uzair Balooch,"All three main parties of PDM have different goals and severity level of their leader's statement's totally depends upon their goals, for example, top PMLN leaders are convicted or in jail,so they are targeting the govt and army bluntly, because they hÖ",Angry
Muhammad Zauq,Chor,Angry
Muhammad Zauq,Chorni,Angry
Mujahid Choudhry,chor,Angry
Mujtaba Memon,A dacoit who is out on bail is giving us lectures on democracy. It's a shame that we had to go through this curse of dynastic politics. A woman with absolutely zero credibility is trying to get the attention.,Angry
Mujtaba Memon,a terrorist that blasts himself calls it a jihad too !! Maulana tmany aur unmay koi fark nhai,Angry
Mujtaba Tahir,chor,Angry
Mukhtar Azam Shah,chor,Angry
Mumtaz Khan,Shetan,Angry
Munawar Iqbal,Kuttayy,Angry
Musaddiq Baig,chor,Angry
Mutahar Rizvi,Lanat ho tm pr,Angry
Nabeel IndHar,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Nadeem Choudhry,Dezal kuta,Angry
Nadeem Choudhry,Dezal teare nasal ty lanat,Angry
Nadeem Rana,Lanat ho Mulana tum per chor,Angry
Nadeem Rana,Lanat ho tum per chor,Angry
Nadir Bin M Ali,Lant PDM pr sab chor or diesel waqeel choro ka,Angry
Naqash Azam Bajwa,chor,Angry
Nasar Minallah,"Ah ,an other fine example of using religion for your gain...",Angry
Naseer Khan,Lanti,Angry
Nasir Ali Khan,Lanat ha tum per our tumharey hanadan per chor lotero,Angry
Nasir Aly,chor,Angry
Nasir Khan,Taso de ALLAH TBAAAH KR EERY Y,Angry
Nasir Mahmood,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption iÖ",Angry
NAV ??,@2Kazmi @ArsalanGhumman Everyone knows their evil faces but still our anchors want them to appear on their show andÖ https://t.co/tINTnxjmIx,Angry
Naveed Ahmad,chor,Angry
Nawab Adnan Chand,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Nazim Ali,How this fraud woman lies about everything. She has no shame.,Angry
Neeli Khan,chor,Angry
Niaz Khan,Pakistan ka sub say bara Munafiq aur Ghadar Desil ka jab say haraam band howa hai es kanjar ko doray phar rahay hain Aur moun py Allah ki Lanat bars rahi hai,Angry
Nighat Zahid,chor,Angry
Nisar Ahmed,chor,Angry
Noaman Masood,chor,Angry
Noman Fareed Sial,chor,Angry
Noor Hassan Baloch,chor,Angry
Noor Insafian ???? ?,"The killer Rao Anwar is still roaming freely in state protocol.
#Justice4NaqibMehsud 
#PDM
#TumKharayThayÖ https://t.co/eVBaBF9bXQ",Angry
Noora Zulfiqar,chor,Angry
Noreen Faryad,First sacrifice would be faxulrehman and his son to give this jehad a barakat may him and his sons soul rest in peace,Angry
NPP News TV,"PMLN Spokesperson @Marriyum_A Aggressive on Government While Doing Media Talk

@Marriyumkafan #PMLN #PDM #NABÖ https://t.co/T7NkOhbpor",Angry
Numan Hameed,chor,Angry
ÿπÿ≤€åÿ≤ ⁄©ÿßÿ®ŸÑ€å ÿØŸÑÿ≥Ÿàÿ≤,Lanat man,Angry
Oan Abbas,Chor ki beti,Angry
Omar Bashir,Chal thak gai hy beth ja nani tera bap kaha hy,Angry
Optimistic Khan,chor,Angry
PAKISTAN ZINDABAD,"RT @badlaygaapakis2: Our country is being pushed towards Martial Law by criticising the democratic institutes, there should be a strict actÖ",Angry
Pasha Khan,chor,Angry
Peer Afridi,chor,Angry
Peerzada Umar,chor,Angry
Pio Rehman,Chor leader,Angry
Public News,"Ye Log Thook kar Chat rahay hain | Sheikh Rasheed lashes out on opposition | media talk today

Link:Ö https://t.co/2X03JfEbdY",Angry
Qaisar Saleem,Dakoo ke beti,Angry
Qaisar Warraich,Lanat,Angry
Qaisar Warraich,Lanat fazloo lanat,Angry
Qamar Abbas CH,Fazlo bagharat ÿ¨⁄æŸàŸπÿß,Angry
Qamar Naqi,Chor,Angry
Qasim Mirza,chor,Angry
Qayyum Khan,Lanat.ho.tumhari.zat.per,Angry
Qayyum Khan,Monafiqa.Allah de.tahba.ao.barbad ka.begharata,Angry
Qazi Junaid,"Endangering lives of poor people, disgusting and inhumane.",Angry
Qudoos Gadani,chor,Angry
RabRaakha,@NawazShrifMNS Mian saanp ?? giving speech in #PDMJalsa from #London ??,Angry
RabRaakha,@NawazShrifMNS Mian saanp ?? giving speech in #PDMJalsa from #London ??,Angry
rahat zaheer,"RT @HayatIrram: You canít entertain every dog that barks! @ImranKhanPTI So keep calm and let the dogs bark. 

#imranourpride #Kaptaan 

#MÖ",Angry
Raja Sajjad,chor,Angry
Rakhmt Ali,Dezal lanaty Nawaz Sharif ki koty,Angry
Rana Uzair,11 Parties and 5 thousands people. Lanat teri leaderi tay.,Angry
Rao Azeem Yaseen,Do you think such news are in favour of pakistan. Does such a jihad needs sharing by DAWN. For God sake have pity on this nation.,Angry
Rao M.Anwar,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ralÖ,Angry
Rao M.Anwar,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ralÖ,Angry
Rashid Mir,Yeah pakistan ka paka dushmen hey,Angry
Rasif Khan,chor,Angry
Razia Rizvi,Bas choor kehne aya tha,Angry
Reghuthaman NP,chor,Angry
Rehan Mushtaq,chor,Angry
Rehman Aziz,chor,Angry
Reyaan Rasool,Chor,Angry
Riaz Khan Mehsud,Dramy bazi kr ry hain,Angry
Rihan Khan,Bahgora baap wapis laou,Angry
Rizwan Ahmed,Hala k ye chu*tiye khud b shoro se selected rahay hain....,Angry
Rizwan Butt,Lakh di lanat tere tey..diesel,Angry
Rizwan Elahi,chor,Angry
Rizwan Elahi,chor,Angry
Rizwan Naqvi,"All thieves gathered against Imran Khan
#PakistanRejectsPDM",Angry
Rodney Malvery,A dacoit who is out on bail is giving us lectures on democracy. It's a shame that we had to go through this curse of dynastic politics. A woman with absolutely zero credibility is trying to get the attention.,Angry
Roshan Khan,chor,Angry
Rubel Islam,chor,Angry
Sa?is?,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption iÖ",Angry
Saad Butt,A complete flop show of criminals! The conscious and patriotic people of Pakistan have clearly rejected the looters and criminals. Now there is no place left for their escape except to jump from the top of Minar-e- Pakistan and commit suicide. ?????? ?? ??? ???? ???? chor?! ??????? ?? ??chor??? ??? ??? ??? ???? ?? ??? ??? ???? ????? ??? ?????? ?? ??? ??? ?? ????? ????? ??? ?? ?? ???? ?? ??? ?? ???? ??? ???? ???? ??? ?? ????? ????? ??????? ?? ???? ?? ?????? ????? ??? ??? ?chor? ???? ???,Angry
Saad Haroon,chor,Angry
Saad Rasheed,chor,Angry
Saba Noreen,Headless creature,Angry
Sadaf Rasheed,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Sadam Lajwani,Yae sab se bara chor aor bhekari he,Angry
Sadhu Kumar,chor,Angry
Saher Nasir,Chor,Angry
Sahir Khan,chor,Angry
Saif Khan,Chor,Angry
Saif Ul Huk,Chor,Angry
Saiyed Jawaid,chor,Angry
Sajad Wani,Characterless and shameless she-Male...,Angry
Sajad Wani,chor,Angry
Sajid Nagari,Lanat,Angry
Sajid SAji,chor,Angry
Sajjad Hussain Sumra,Even a street Joker can attract better crowd than these so called leaders,Angry
Sajjad Ullah,chor,Angry
Sajjid Usman,"GO TO HELL PDM, Looter Party",Angry
Saladin Ahmed,chor,Angry
Salahuddin Gandapur,He looks like he is Haji and knows Islam but deny inheritance rights to his sister #Pakistan #PDM https://t.co/pHjMMaHNZd,Angry
Saleem Afridi,Can someone shut this loser up,Angry
Saleh Khan,Kutta bhonk raha hai,Angry
Salim Mayari,Excellent,Angry
Samar ZH,Bhonk na,Angry
Sami Buneri,Chal nikall...,Angry
Sami Ullah,Chor,Angry
Sana Khan,RT @sayedzbukhari: These are Pakistanís children being forced to come out &amp; protest to save national wealth looted by FazluRehman &amp; the #PDÖ,Angry
Sana M Uppal,chor,Angry
Saqib Atiq,chor,Angry
Sardar Tauqeer,Lanit,Angry
Sarfraz Hussain Rao,chor,Angry
Saurabh Sharma,chor,Angry
Sayed Rehman,Bahgora baap wapis laou,Angry
Scholar Gipsy,chor,Angry
Shabbir Mohammad Hashmi,chor,Angry
Shahan Alam,chor,Angry
Shaheen Zahid,Lanat tery sayasat pay,Angry
Shaheen Zahid,Lanat tum pay fazlu,Angry
Shahid Anjum,"RT @appcsocialmedia: #Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_Official 

https:Ö",Angry
Shahid Baig,Gahdaar ho tum,Angry
Shahid Hassan,Bahgora baap wapis laou,Angry
Shahid Pti Riyadh,24 news par laanat,Angry
Shahid Rajab Ali,Best beggar in the world,Angry
Shahnawaz Khanday,Bodhi Pehle sahi tarha khari ho ja pata nahi kab Maray ge,Angry
Shahzad Ahmed,Chor,Angry
Shahzad Ahmed,chor,Angry
Shahzad Hussain,chor,Angry
Shamim Soomro,chor,Angry
Shamsullah Kakar,chor,Angry
Sharif Ullah Khattak,chor,Angry
Sharjeel Rana,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160Ö,Angry
Shaz Malik,"RT @ChaudriIrfan1: Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruption iÖ",Angry
Sheharyar Kaleem,chor,Angry
Sher Ali Khan,Dizali munapiq murdabad,Angry
Sheraz Ahmad Mughal,Choran da tola....,Angry
Sheraz Maalik,chor,Angry
shoaib mughal offical,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ralÖ,Angry
shoaib mughal offical,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ralÖ,Angry
Shoaib Raza,chor,Angry
Shujaat Ali,chor,Angry
Siddharth Banerjee,chor,Angry
Sikander Khan,chor,Angry
Sofia Khalid Mian,chor,Angry
Sohail Anwer,chor,Angry
Sohail Karachiwala,"And this ""Jihad"" will continue till the restoration of his Kashmir Committee Seat. What a shame for his followers.",Angry
Sufi Abdul Karim Ali,Baygherat dezil,Angry
Sufi Abdul Karim Ali,Fasadi mullah,Angry
Suhail Ahmed,chor,Angry
Suhail Ahmed,chor,Angry
Suhail Malik,Diesel Choor,Angry
Sultan Haider,chor,Angry
Surya Kant Srichandan,chor,Angry
Syed Arslan Haider,chor,Angry
Syed Asad Kazmi,Cheekhtey raho yeh hi tumhary saza hay.,Angry
