User,comment
Zain Khan,Good
Azar Hussain Shah,Good
Mohsin Shah,Good
Any Any Di,Good
Wahib Mir,Good
Shiekh Rasik,Good
Zeba Baig,Good
Harris Ashraf,Good
Sardar Ali,Good
Raja Muhammad Bilal Khan,Good
Aqil Khan,"Good decision, all education institution should be re-open as soon as possible"
Muhammad Sabtain Sadiq,Good job
Rizwan Elahi,Good job
Bilawal Alee,Good luck
Wajid Shahbaz,Good luck
Yasir Khan,Good Maryam
Attique Malik,Good mere qaid ke bete
Farhan Lakhani,Good show and finally pdm taking momentum...
Rupak Ranjan Mohapatra,Good show MashaAllah but please go to condole & sit with mourners in Quetta without any further loss of time...
Saeed Awan,Good. I wait for love from you 💝💖
Ashir Ali,Good👍👍
Zaheer Abbas,"Goons, thugs, looters,liars, cheaters and shameless ...all get together in one place to rant and save their corruption and looted money ..."
Bilal Siddique,goood
Adeel Ur Rehman QureShi,Goood
Amanullah Kharoti,goood
Irfan Wisaal,goooddd
محمد عباس آفریدی,Goooo marryam
Habibullah Khan Nasar,Gora gora waya
Azaz Hassan,Got the share ... here he starts again.
Shahid Khan,"Government drive against these corrupt mafia is real jihad. Pakistan dacoit movement is out to destabilise the country at any cost, but they have miserably failed in their sinister actions."
Tahir Khan,Government leaders go their home everyday after work dear
Marium Khan,government will have to come on the same stage?? is it new style of begging and whining?? why didn't you perform item song for sheikh rasheed in order to promote Abbu bachao campaign?
Zobia Samreen,Govt has done jihad against this fasadi molvi by vacating years old parliament lodges from his pocession.
Hidayat Ullah,Govt will go to your home.
Mushtaq Malik,Grapes are sour Maulana Tandoor
Noaman Masood,Great
Tahir Korejo,Great
Khalid Bashir,Great
حمزه محمد,Great
Zahid Ansar,Great
Rana Saqib Shahzad,Great
Anwar Khan,Great
Aleena Ahmad,Great
Hasan Azmi,Great
Saif Ullah Khan Naroot,Great
Zulfiqar Shaikh,Great
Zubair Ahmed,Great
Shahid Arif,Great
Muhammad Shah,great
Manzoor Ali,Great
Muhammad Saleem,Great
Abubakar Haider Baguka,Great
Hassan Saeed Siddiqui,Great
Muhammad Qadir,Great
Tanveer Khan,Great
Mujeeb Zia,Great
Nimra Badar,GREAT
Faisal Larik,Great
Akhtar Azam Mohammad Zai,Great
Alamdar Khan Sewag,GREAT
Azam Mirza,Great
Razi Akber,Great
Ali Imran Ashiq,Great
Zubair Khan,Great
Muhammad Salim,Great
Hamid Memon,great
Syed Ali HayDer,Great
Hamser Npdz,Great
Wakar Baksh,Great effort mam
Shah Fahad Ali Khan,"great example of Molvis using religion for their benefit, has always been!"
Asif Raza,Great father
Omer Dir,great g
Tariq Rauf Afridi,Great gathering
Samar ZH,Great Leader
Muhammad Junaid Ahmed,Great leader
Bilal Ahmad,Great leader
Ashfaq Babwani,Great Leader
Shehryar Abbas Zaidi,Great leader
Abdul Karim S Panjwani,Great leader
Muhammad Naseem,Great leader
Baber Khairi,Great Leader  inshaAllah
Syed Hussain,Great mam
Muhammad Arshad Rahman,Great people
Oussama Tariq,Great pmln
Waqas Bukhari,greatt
حمزه محمد,greattt
Anwar Satti,Ground full people's
Abdul Karim S Panjwani,Group Of LoOtMaRs instead of Chater of Pakistan
Muhammad Naseem,Gud  oy gud sherni
Amir Ali,Gud.
Zain Ahmad,Ha haaaa. Funny    For the last fourth years your family has looted and screwed Pakistan.   Your grand father was the downfall.
Muhammad Zaman Bhatti,"Ha kashmir committe ka tum nay jinaza nikala .U r nothing but a blot on pakistan .I dont know why they are still letting u undermine nation in a such a brazen manner.Had u been in other country , ur bones might have roasted in hell .One person bound to…"
WaQas KhoSo,Haaaaaaa jisny dkhan hy dkho me pak foj par bhonk rhi hun
Abdur Rahman,Haahhaah he is too funny
Faisal Adnan,Haan haan lahori bi ab jante hain tum choro ko
Imtiaz Ellahi,Haha hari hui
Ibrahim Ahmad Ibi,haha uwaaaam
Mahmed Ravat,Haha. All the previous govts were real democracy which u were part of ??
Junaid Tipu,Hahaahhahahahah not only software also the BIOS has been updated permanently
Fatima Ch,Hahaha dikhh k jhhoot bolo Jo koi man ly... Jilssah flap hogia
Bandar Bant,Hahaha hai he jhoti orat. Kisi dor main isy bat nhi ati thi aj dekho abu ne asi trbiat ke hai. Abu sair bati sawa sair wo b jhot bolny main. Hehehe
Siddiqui Siddiqui,Hahaha SAB biryani KAHNAY aay hai 😂😂😂😂😂
Rohan R S Sunshine,Hahaha shermindgi ni hori 6 logo se khitab krty
Saher Nasir,Hahaha we  Pakistanis reject PDM
Khawar Afroze Rana,Hahahaaaaaaaaaa
Anil Kumar Gupta,Hahahah
Ashir Baig,hahahaha
Najar Sahil,hahahaha
Ghayas Ali Hashmi,Hahahaha khisyani billi khamba nochay
Nasar Minallah,Hahahaha kia tamasha hai good
Syed Kamran,Hahahaha Very Funny
Rahim Asif,hahahaha yar ksmy sy agr tm logo ny kch kia hota Pakistan ky lye tou aj hmre yeh halat na hoty
Syed Khuram Bukhari,Hahahahah Mardan walay sab ameer log hain ye mehngai koi asar nahi dalti
Jibran Yousuf Khan,Hahahahaha 😆
Anil Kumar Gupta,Hahahahaha loser
Aamir Shahzad Hashmi,Hahahahaha tarikhi jalsa HUM LAHORIYON KO SUB PATA HAI BIBI GHAR JA KE APNAY GRANDKIDS SAMBHAL
Fuaad Munawar,Hahahahahaha
Saqib Khan,hahahahahaha Pagal banda hay.. koi aha sa pagal kahna daikh k is ko wahan jamah karwa diya jahee
Sajjad Abid,hahahahahahahahahahaha
Wahib Mir,Hahahahahahhahaahhaahahah
Uzair Man,hahahahahahhahahahahahha
Eshaan Ansari,hahahha
Ihsan Khan,Hahahhaha.. funny lady
Baig Tamoor Mirza,Hahhaa... Joker Bilawal
Anns Imran,Hakomat ke saat ase he hona he
Rizwan Ahmed,Hala k ye chu*tiye khud b shoro se selected rahay hain....
Usman Azhar,Hamara naseeb!
Vinay Yadav,Haraam khane wali ko kese nazar aai gi
Ayaz Muhammad Khan,Haramzadi
Aamir Roy,Has this joker ever given his sweat  much less blood  for his area much less his country?
Gulsher Ali Khaskheli,Hat bhosari ka
Syed Naqvi,Hayeeeeee bicharo
Khursheed Abbas,He does look like Asaram
Khairuddin Shadani,"He forgot to mention ""please"" at the end"
Ayaz Noorani,He had also rejected 2018 election as rigged one but then again begged for votes of the same rigged assembly for presidential election. HYPOCRICY is quite typically characteristic of him
Satyam Kumar,He has been the biggest loser of the election. He wants to become
Faizan Ahmed,He has only himself to blame .. Maybe he needs to change his disposition on life never seen a more entitled person in this country so unhappy n disparaging..
Sher Khan,He has started uttering some very good words. Remember you already have planned to take a rally for the removal of the French embassador from Pakistan. Mind it first Maulana sb.
Summayyah Shafique,"He is a bravo man like Lion, if he was not suffering from a life threatening disease he would come to Pakistan,and would address the PDM jalsa"
Abel Roberts,"He is a convinced and is wanted to Pakistani law. Hence, he should return home to show grace for civilian supremacy, otherwise, he must shut his mouth."
Emran Khaan,"He is a nut , he is actually reminding us of names of the year. First he said December then January and now February , He is an effeminate .  Neither male nor female , stuck in between . How can he be the PM when he himself is not good at Urdu , our mo…"
Rahul Shah,"He is expert in abetting masses against the state,  by the way snacks are waiting for u in GHQ and adyala."
Attique Ahmad,He is in confusion one day he will loose everything he is psychopath n gone crazy making situation worse in every direction n looks insane ...
Adnan Ali,"He is not moulana he is crupt symbol of PDM, drive innocent people to wrong direction"
Mariyah Daniyal,He is playing with the mind of innocent nd unaware folk.
Awanish Singh Banafer,He is ready to sacrifice. Latka do bsdk wale ko
Meraj Qadar,"He is right though am not his supporter, the military Must respect the civilians and their own oath."
Faisal Aslam,He is right... He predicted for.. Government of Sindh
Abel Roberts,He is still hoping that Bajwa selects him as the next puppet.
Anooj ML,He is the most corrupt politician... We hate Bilawal
Umer Shamim,He just have learnt who to polished the shoes
Yousaf Anwar,He looks like Modi
Davide Zak Zannoni,He mean to say
Sango K,He needs just a KURSI.....  At any cost.. He doesn't care about any thing
Ali Raza,He often talks of selectors!
Subhajit Karmakar,He uses religion to safeguard his personal interests.
Engr Aziz Al Bakistani,He wants halwa
Aiza Fakhar,He wastes own important time in the PDM.
Saba Noreen,Headless creature
Rebellious Flower,Heavy
Sher Khan,Height of filthiness by Fazlu. Kindly dont use Molana title for him.
Qudoos Gadani,Hello
Abel Roberts,hence proven
Kee Dee,Her waqat bhunkta hai
Abel Roberts,"Here, We see, that there is no SOP’s, because the drama of corona is only limited to education academies, madrassa and Mosques...!"
Yousaf Anwar,Hero
Kasim Faridi,Hhhhhh Rothy rhooo Baboo ny kuch Kya hi nhi is ly y hal hyyy
Safa Safa,Hi I am supporter you
Waseem Muhammad,Hii
ARêej Tahīr,His dialogue is right
Shagufta Saif,His face revealed everything which is very prominent. Nawaz knowns the 2021 will be most toughest years of his political career.
M Rehan,"His father brought down a major political party down to its knees, the sun will make sure to bury it deep in the ground."
Muhammad Saqib,His time is coming to eat daal. Chawal
Barkat Jamil,Historic words by bilawal
Jamil Asghar Butt,History will always curse on you cz of your activities during pandemic.
Maaz Khan,History will always curse on you cz of your activities during pandemic.
Abdul Majid Sarwar,Hmara Badluck hoga agr aysa hoa..
Sami Khan,Honest to god we have never came across any comment condeming any terrorist attack on army jwans or officers from him he himself is unworthy no kindness to anyone he does not fits to be a true religious scholer he is typical greedy mullah
Shahid Hanif Shad,Hope
Saeed Ahmed,hope it's enough
Sohail Khan,Hopeless show
Mohammad Ayub,How can a woman who refuses to adopt even her own daughter adopt the people of her country?
Faizullah Fragh Pmln,How can anyone take this clown seriously ?
Saad Khanzada,"How desprate these parasites are.. Look at their approach, they don't consider and respect any the mandate of people.. A true example of nepotism"
Kalid Khan,How ij your papa now
Adeel Shakil,How many people were present in the jalsi when he was speaking ?
Sania Ali,How many times did u go to meet the families of those who suffered in Model Town massacre?
Adil Khan,How the hell this shemale is to speaking about our army and peoples? PPP and  PMLN are the worst parties.
Hamza Baloch,How this fraud woman lies about everything. She has no shame.
Nazim Ali,How this fraud woman lies about everything. She has no shame.
Mir Afzal Khattak,How this fraud woman lies about everything. She has no shame.
Fiaq Ahmad,How this lady gets the courage to criticize IK for taking loans to help with the economic situation of Pakistan which has been financially bankrupted by her  father and her  uncle’s through their criminal activities of siphoning out financial resources…
Afaq Ahmed,How this mullah using islam for his own interests.....hypocrite
Alaf Tabedar,How to survive in Pakistan??
Rasheed Mughal,How to survive in Pakistan??
Ahmed Khan,"How?One can ask these so called democrats,are you believe in it or something else?If they force the government to go,what they will do in future?"
Talha Khan,hud ho gai iss desh ki
Moin Khan,Huge
Syed Zaghaim Abbas Shah,Huge crowd for PMLN Queen MARIYAM NAWAZ
Abu Hayyan,Huge jalsaa
Waqar Azhar,"Hum sindh wala is sa tang hain pata ni kesa, is, sa jan bakhsi ho gi her jaga na ahal logon ko post keya hoa hy"
Zain Afaq,hum zameen tung ker denge onke ghar walon ki
Waqas Ahmad,Hume nahi ap logo ki Hukumat choro gundo dakhoho
Nadir Shah,Hy
Syed Aasim Bukhari,Hybrid Molana
Sameera Zulfiqar,"Hypocrisy on the peak,,,"
Abdul Razaq,I am best imran khan
Bakhtiar Khan,I am onlne quran teacher only female and kids at home
Burhan Hashmi,I am still waiting for his death which was supposed to happen around a year ago.
Zodi Khanz,I am the selector of Imran khan 💪💪🤚🤚🤚
FaRida KaKar,I am the selector of Imran khan 🤚🤚💪💪💪🇵🇰🇵🇰
Nadir Shah,I am the selector of Imran khan 🤚🤚🤚💪💪💪🇵🇰
Khawar Jahangir,I am the selector of Imran khan 🤚🤚🤚💪💪💪🇵🇰🇵🇰
XhehZada Abbas OwAsi,I am the selector of Imran khan 🤚🤚🤚💪💪🇵🇰🇵🇰
Malik Irfan Tangi,I can feel the days when founding fathers worked day and night to get independence from British raj.
Afaq Ahmed,I challenge you to bring back your father to Pakistan if you are brave.
Engr Muhammad Farooq Chandia,"I dont know why these politicians always use words like war,jihad in kpk"
عامر رفیق ملک,I dont think so that the narrative of Qaid e Azam was to rob national treasure and stash money abroad . It was not the narrative of Qaid e Azam to borrow money form the national treasure and then waive it off .
Rana M Shahnawaz,I FAIL TO UNDERSTAND THE JUDICIARY SYSTEM AND LAWS OF ISLAMIC REPUBLIC OF PAKISTAN. A CONVICTED CRIMINAL ADDRESSING PUBLIC GATHERING. WHAT SHAMEFUL SYSTEM.
Khan Cap Arsel,I FAIL TO UNDERSTAND THE JUDICIARY SYSTEM AND LAWS OF ISLAMIC REPUBLIC OF PAKISTAN. A CONVICTED CRIMINAL ADDRESSING PUBLIC GATHERING. WHAT SHAMEFUL SYSTEM.
Syed Hasan Reza Hasni,I FAIL TO UNDERSTAND THE JUDICIARY SYSTEM AND LAWS OF ISLAMIC REPUBLIC OF PAKISTAN. A CONVICTED CRIMINAL ADDRESSING PUBLIC GATHERING. WHAT SHAMEFUL SYSTEM.
Tahir Nafees,I feel pity for those who still follow such narratives. These type of hybrid moulana can say anything for their self interest.
Akber Ali,I hate politics Its full of lie to people . Its time waste
G M Gabol,I hate this orat
Asad Ullah,"I have no relation or any obligation with any political party including PTI and the opposition, but one humble request to all politicians and political parties that please do something for the helpless and suffering people of our country. PPP, pml'n, j…"
Muhammad Akhtar,"I hope, trust & pray that saber elements will prevail and avoid confrontational politics which is in nobody's interest...."
Syed Nazim Uddin,I like maryam nwaz wahh maryam nwaz
Rana Nadeem Khan,I like that😍💋 💝💖❤️
Rana Nadeem Khan,i like this video!
Muhammad Naeem Tahir,I lov u nazsharep
Muhammad Ejaz Jazi,I love 💕 u Maryam
Mohd Yasir,I love maryam api she is a nice lady
Mehmood Ali,i love mln
Ch Salman Nawaz,I love Pakistan and I love Imran khan
Bint e Muhmmad,"I love Pakistan, I love pak army!"
Ahmad Ahmad,I love pdm
Sadam Hossain,I love pti
Bin Ashraf,i love u
Irshad Irshad,i love u pmln
Irshad Irshad,I love you  my friend
Hina Hina,I love you Pml.n
Tofique Malik,I love you Pml.n
Rana Azeem,I love you Pml.n
Rana Azeem,I love you Pml.n
Rana Azeem,I love you Pml.n
Aini GM,I love you Pml.n
Tayyab Abbaxci,I love you Pml.n
Raja Nisar,I love you Pml.n
Muhammad Ali Khan,I miss my ladar mry khun ky akhre ktry ap ky lyz ha apne jmat ky lyz ha
Hamxa Mansoor,I pity the people who follow this man!
Rukhsana Maken,I RECJECT DEEEEEZAL
Sardar Aurang Zaib Wattoo,I RECJECT MARIYAM
Muhammad Bashir Ahmed,I RECJECT PDM
Príñçè Bìlål Åwâñ,I RECJECT PDM
A. A. Bodla,I RECJECT PDM
Akram Ali,I Reject All of them
Rana Ammar Afzal,I reject PDM and PTM 🤚🤚
Kashif Khan Khattak,I rejected PDM
Malik Zaheer Awan,I rejected pdm and ptm forever
Kanwal Masood,I remember how balochi ppl was sitting with their beloved who pass away in bomb blast for several days and demanded govornor rule.
Sufyan Usman,I sprouts you 💝
Abdul Hafeez Butt,"I think he should not use the religious term to fool people when he himself does not know the exact meaning of those religious terms. He does not follow Islam nor preach correct Islam but only run after money, power and AYYASHI. Islam is in serious cri…"
Malik Shahbaz Channar,I think it's Trump...
Kabir Ahmed Kabir Ahmed,I used to think bilawl is Rahul gandhi of India as no one take him serious but now I realise Raul gandhi makes much more sense
Sharjeel Theme,I voted for Imran Khan before but that's not a mistake I'm going to make twice...
Príñçè Bìlål Åwâñ,I wish i could smack his zanana face with a steel brick. Children of corrupt politicians with no record of public service are now given free hand in politics. High time
Abdullah Ilyas,I wish people knew that PDM is meant for protection of apolitical dynasty of Nawaz and Zaradari.
Sana Rabbani Khar,i wish people pop up with horns on their heads when lying...i wish so that we hear less lies and more truth...
Mian Khuram,I wonder if a person like bilawal can even be a chairman of BALDIA of a small town.
Muhammad Jamal,idiot on the loose again!
Khalid Manzoor,Idiots circus
Jaam Adnan,"If civil supremacy prevails,the credit would go to  Sb."
Babar Butt,If he is unable to send Pti government home by January then Bilawal should let Sheikh Rasheed to give him a kiss before sending him back from Islamabad
Shahid Hanif Shad,If he was really 'shocked' as he now claims than why does he not distance & remove himself from this unholy alliance under the garb of PDM...
M Hamza Ch,"If inflation is not reduced, then the people will take over the system. There will be no need for opposition"
Ch Hadeed Cheema,if people like nawaz and his allies talk against Army in india.they will be sent to Kala Pani jail for life.. Pakistan PM is nothing but a puppet.
Sardar Haji Muneer Ahmad,"if rejection had a face, it would look like Fazlurehman.."
Jasmine Jhon,"If someone using religion for their own benefits, believe me he/she is not a true religious person.. why you called it Jihad?"
Mian Naveed,"If this is Jihad then he needs to be on the fore front.. if in case you embrace ""shahadat"""
Mian Naveed,If true democracy flourish in pakistan ........then both India and Pakistan's relations will be normal wheather PM is Imran or nawaj shariff (But amry should be in control of government)
Mian Naveed,"If you remove the beard from his face, he very much looks like Rao Anwaar. Check yourself"
Mian Naveed,"If Your Home, then they will be ready everytime"
Sardar Malik Zhoaib Dawanj,"IK and Institutions of Pakistan with stand strong and united against corrupt elements of country. These looters will not be let go. IK once said ""main enko rulauga"" and today this is happening"
Sardar Malik Zhoaib Dawanj,"IK and Institutions of Pakistan with stand strong and united against corrupt elements of country. These looters will not be let go. IK once said ""main enko rulauga"" and today this is happening"
Rashidkhan Rashidkhan,Ik puppet is now replacing by Bilawal puppet.
M Tariq Jakhrani Baloch,ILOVE Pakistan.
Saima Saima,Imagine ppl supporting bilawal
N A Khan,"Imraan khan zindabaad, mera agla vote bhi Imraan khan ka, Imraan khan inn bharti ghulaamon ko mat chorna."
Amjad Abbasi,"Imran is great ,and honest"
Junaid Butt,Imran is great leader
Rehnoma Muhammad Mahar Pmln,IMRAN KHAN CHOR HAIN JHOOTA HAIN NIAZI
Munir Khan Gurmani,Imran Khan great leader
Munir Khan Gurmani,Imran Khan great Prime Minister
AnWar Khan MuQbal,IMRAN KHAN is the leader of PAKISTAN
Mussa Bhai,Imran Khan jhota num 1 h
Hamid Hundal,Imran KhaN k pishaawari chapal k barabar bhi Nahi tum choorni 🤣🤣
Alla Rakha,Imran khan ka channel hai
Ch Jamshaid Aslam Khan,Imran khan Kal bhi farig ni hoa.....
M Raja M Raja,Imran Khan ki hukomat na logo sa do waqt ki rooti cheen li
Muhammad Ajmal,Imran khan Ki juti I k barabar b nahi
Engr Muhammad Shahbaz,Imran khan ko chahye k in sab ko ikhatha kr K ulta larka dy ta k in gadarn sy humesha kelye Jan chout Jay ta k inki any wali naslain bi yad rakhain k kisi mard sy wasta pra tha
Muhammad Aslam Lodhi,Imran Khan me kaha tha.. ke in Sary choro ne akathe ho gana hy..
Syed Jawad Bukhari,Imran khan murda bad
Rana Rizwan Khalil,Imran khan se shro hok imran pr khtm.nwaz se shro nwaz pr khtm.taqreer ase hoti hn.ledr asy hoty hn.ledr zatyat pr nhi nazryat pr bat karty hn.
Abdul Shafiq,Imran khan taara Moo sukray tatta varga ae
Rana Ilyas,imran khan zandbad
Rana Ilyas,Imran Khan zendabad
Rana Ilyas,Imran khan zinda bad
Rana Ilyas,Imran Khan zindabad
Rana Ilyas,IMRAN KHAN ZINDABAD
Rana Ilyas,Imran Khan zindabad
Raja Hafeez Samlal,Imran khan zindabad
Sahil Arman,Imran khan zindabad
Sheikh Rafiq,Imran khan zindabad
Asmat Ullah Kakar,imran khan zindabad
Abdul Ghaffar Baloch,Imran khan zindabad
Altaf Abbasi,Imran khan zindabad
Muhammad Bilal,IMRAN KHAN ZINDABAD 👑
Muhammad Sajjad,IMRAN KHAN zindabad pakistan zindabad
Saim Asgar,Imran khan zindabad.  Awam apnay khan aur Army ka sath ha.  Bhagao mulk ka ghadaron ko.
Saim Asgar,Imran Khan zindabad..❤️
Saim Asgar,ImRan tou gaya
Ejazkhan Pmln,Imrno fobia or deep love??
Ishfaq Hussain,In GB they fight one another for Seats but due to failure outrightly all of them are now in the same boat . what a pathetic alliance it is. One rise the slogan of maulana and the other cut it off by saying bhtto was not died not finishing this the next…
المدینہ آپٹیکو,Incompetent govt backed by rouge Military.
Ayesha Khan,India b sochta hai k kin par paisa zaya kia
Shaveer Rehan,India nawaz shareef ku pasand krta pak army nae sochne wali baat han
Shaveer Rehan,inki jalan dekh k IK phir acha lag hi jata hai
Mamad Tahir Sardar,Inki shaklen dekh ker ulti ati hai. Mat dekhao inko
Abdul Muheet,Inqalab
Shaan Khan,Inshallah hamare hukomat dubara ay gi
Xh Abid Ali Adv,inshallah i will vote imran khan in next election.
Irsadh Bha,Inshallah next hakumat bi imran khan ki ho gi
Muhammad Asif,inshAllah PDM JitY gi us DaFa
Sajjad Hussain,iNTEHAY  DARJY KI MAKKAR AWRAT HY YE NANI AMAA
Sajjad Hussain,international bhikhari Imran katora khan jane wala hai 😁😁
Muhammad Hafeez,Is he iviting govt to HIS HOME?
Mamad Tahir Sardar,"Is he referring to the Poverty, Hunger, Disease and, Homelessness that was created by PPP and Nawaz Shariff......."
Mamad Tahir Sardar,Is it important news for us ? Illiterate admin
Amjad Talaash,Is ki London kya Pakistan MA b property NY
Burhan Hashmi,Is ko to mene Karachi ki chowrangi par dekha tha
Azam Baig,Is mike ko mun me leye jahil insaaan 🙄
Noman Malik,"Is the body being parceled from DHL or TCS? Musharraf is the father of all criminal generals. Otherwise, in a country where the Constitution reigns, those who violate the Constitution are not condoned as heroes."
Ghaffar Khan,Iski sunta kon hay ...siwaye Sheikh Rasheed ke
Sar Meen,Isn't there any Mufti in Pakistan who can come out and issue a Fatwa against this so called Maulana for declaring Jihad against a Muslim regeme.
Kiran Saleem,Iss Larrki noma lotaray ki baiti cheekhain nikal rahai hain
Faraz Ahmed,iss se zayada to corner meeting mein ikhattay ho jatay hein
Liaquat Rajar,It all all about having balls that are big enough.
Muhammad Jamil,It is the need of time
Muhammad Jamil,It means first one fail
Ch Shafqat Hasnain Pandha,"It should be Ironic,  we must strive a 'Jihad' against you culprits..."
Sher Baz Shomeuo,it should be KPK lead charter.
Imran Yaqoob,It was good show reasonable gathering
Shahzad Qamar,It’s a fair statement.
Gull Baden,It’s called the Wave
Hakeem Khan,It’s time for you to retire Molana.
Gull Baden,Itna dramatic speech! Kia urdu hai....good improvement!
Faizullah Fragh Pmln,"Itna jihad ka shouq hai toh kashmir mein karo,  at least mulk ka faida hi hoga"
Faizullah Fragh Pmln,Itna tujy logo ki fikar he to jalsa nhi karti
MuhammadQasim MuhammadQasim MuhammadQasim,"Itni maar khaye gi tu mujh se qasam se , Awam ko pagal bana rahy ho , Matlab koi mazak chal raha ha ? Hamen short term memory loss ha jo ham panama case ka kacha chatta bhool gae ? Or ab apki bar bar per yaqeen kren gen ? Ye sari mehnat akhir q ?"
Ishfaq Ali Shah,"Its a revolution in the making. Now Imran would know whats called ""pissing the pants"" that he used to say about Pakistan Army."
Hamza Jan,Its almost empty
Raja Ibrahim,Its Bilawal zardaris U-turn time
Raja Ibrahim,Its not  ur it was just and only of durrani
سید مظھر علیchorاہ,Its proven that PML(N) along with socalled opposition using fool and stupid people's just for ther personal purpose as they try to get rid of Corruption cases they haven't any care of people's health during  pandemic
Cricket Bats Seller,It's true
Junaid Rajput,I've never seen so many decieted lalus in my life
Imran Jalal Khan Niazi,Izhar b mushkil ha chup ra b ni skty majboor ha uf ALLAH khuch kah b ni skty
Zeeshan Khan,"ja apnay bhgoray bap ko la,,"
Haroon Baig,Jaaa Qatar k shzady ko smbhal
Hafiz Ihtsham,Jab elakshan k time hota to asa bat karta a
Sibghat Ullah Bangash,Jahad cannot be declared by a hypocrite and he's the biggest hypocrite ever born
Luk Hus,Jahil molvi. He dont know the meaning of Jihad.
Sardar Asad Sardar Asad,Jahil mulla......
Mir Basharat Sulhria,Jalse se kuch bhi nhe hota! Imran khan kahi nhe jaye
Faizullah Fragh Pmln,Jalsssa👎👎👎👎
Ali Nawaz Saboor,"Jan choro Jan choro."""
Ihsan Ullah,Jay kisi ne imran day hak vich vote Dita ae me oudi v pain kad laani ae
Abdullah Yousafzai,Jb nzr ni aah rhy tu kaisy pta ky log kharay🤦‍♀️
Aimen Shah,Jb sali hakomat m.hoti h koi maan bhn bahi nzr ni ataaaa😈😈😈😱😱
Junaid Wazir,Jeaaaaaaya kuto billo rani
Abdul Razaq,Jeetty rahain Maryum Anti.... Ameen
Fazal Rahim Shah,Jeo nice
Ameer Hamza,Jhoooti makkar
Sardar FaiZan,"Jhoot bol kar bharosa tornay say behtar hai such bol kar rishta torh deya jaey, rishta phir jur jaey ga bharosa phir nahi jurta"
Shãkir Jããn,Jhoot ki bi intehai....muk gaya Tera show ..nani 420
Mubshir Khan Murshad,Jhooti
Umar Iqbal,Jhooti maryam
Zulfiqar Khattak,Jhot jhot aur jhot
Kashif Nassar,Jhouti Aurat
Malik Shahzad Ahmad Channer,Jhta or mnafaq safi
Samar Jamil Khan,Jhuti awarat
Alaf Tabedar,Jhuti yaha b jhut hahahaha toba yr kitni jhuti aurat ha ye
Aqeel Abbas Khan,jihad
Rana Nadeem Khan,Jihad ...!
Shahid Rehman,Jihad against a government who’s trying to wipe out corruption and bring to book those who siphoned billions  from the Pakistan  treasury !! Wah kia Jihad hai Jahil mullah
Mak T,Jihad e fee sabeele fazal
Sobia Malik,Jihad has become a most Abusive word in world politics these days thanks to Pakistan. First they used it against non Muslims now getting taste of own medicine
ظہیر احمدحمزہ,Jihad means struggling and the main agenda of PDM is to struggle for democracy.
Talha Tariq,"Jihad will continue till I found bungla 11 , restore Kashmir cometee chairman and protocol source from fazli rahman"
Muhammad Kashif Muhammad Akmal,"JIHAD, a word wich is utterly wrong against the incombent government. All these parties had polished the same shoe for what they condemning the today's government."
Jamil Abbasi,Jinab GB log na Apna sahi fasila dya hn.. Ap ko to GB m koi janta h b nhi
Saad Malik,Jio jio
Shafiq Ur Rahman Yousafzai,Jio meray Quaed ki beti.. awaam ki awaz
Shahzad Ali,"Jis ko ek seat ni mil rai, woh Charter of Pakistan bana raha.."
Waqas Ashraf,Jiye Bhutto jiye Bilawal
Ch Ahmad,jlso say kuch nahi honay wala
Shahid Rehman,Jo apne mah ko TCS Kar laita ha to wo pakistan ke awan ke leye kia kar laiga
Rana Nadeem Khan,Jo banda apni biwiyan nhi sambhal sakta wo mulk kese sabhalega
Tahir Nafees,Jo duuuuur tk log nazar nhi araha unko mera salam
Muhammad Jamal,Jo kuch marzi kar lo jail pdm ka muqadder hay .kiun keh ab awm choron ko jan chuki hay.
Afaq Ahmed,Jo merzi kar lo..Tum sub ney aik saath dafan hona ha
Abdur Rehman,Joker
Nadeem Faiz Dhq,Joker
Moin Khan,Joker ikatha hoa Han.....
Afaq Ahmed,Jokers
Umer Daraz,Jr Zardari putting maska to boys for victory in GB elections but they knows ppp is not reliable.
Abu Hayyan,jtni marzai bhag dor kr lo kuch ni kr skty  imrn khan ka
Farid Ullah Jan,Judiciary under Nadim shah maulvi sahib justice qayuom were considered by N leauges as examplary
Tariq Rajput,Juhat hy
Sardar Nomi,JUI and maulana Fazlur Rehman zindabad.
Shukoor Ullah,Just because someone is a madraassah student doesn't strip their right to express their political standpoint similar to how a University student isn't restricted?
Sonia Amir,Just Laugh out loud at these fake-sters
Rana Azeem,Just like altaf Hussain
Rana Azeem,Just like ISIS felt it's doing Jihaad.
Rana Azeem,"Just like USA,"
Rana Azeem,"Just look at him, jeepers Creepers, what is going on in that vile mind of his?"
Sardar Jameel,Just Look at the reacts.
Khalid Iqbal Inqalabi,Jutho ki nani 🤭🙃
Umair Qayyum Khawaja Pmln,Juty tu tumhara baap chatita tha
Aini GM,Kam ki baat to ati ni
Khurram Hussain,Kamal Kar Diya bohat he khoobsurat taqreer ki hy
Sagarika Thapa,Kamall kr dia ....awsom taqrer
Aadita Rai,Kaminy ab yad aia tujy jab zaya ki Goooooad ma tha tab tujy yad nhe aia or phir janb Raheel Sharif ki Gooad ma tu gaia tab b tujy yad nhe aia ab bakvis kr rha ha tu i proud - I proud    imran
