users,comments,labels,,
Intruder,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Muhammad ishfaq,"RT @CTV_Digital: Federal government will not create hurdles in the opposition’s protests: Sheikh Rasheed 

#CapitalTV #PTIGovernment #Sheik…",agree,,
Muhammad ishfaq,"RT @MansoorAzamQazi: Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTI @SassuiPalij…",neutral,,
Capital TV,"RT @MansoorAzamQazi: Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTI @SassuiPalij…",neutral,,
Dr Irfan Ashraf,"Ready for Recording #BAYLAAG 
Don't forget to Tune @CTV_Digital tonight 10:05PM 
#PDM 
#PDMLoralaiJalsa https://t.co/Shut75JmL7",neutral,,
Mubashar Shahzad,"#Indians, Ani-Pakistanis, #PMLN and #PPP and #PDM and Modi-Media altogether are tweeting #????_????_??? and standin… https://t.co/SRIcd0cSVb",angry,,
The Patriot,"RT @MansoorAzamQazi: Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTI @SassuiPalij…",neutral,,
Mansoor Azam Qazi,"Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTI… https://t.co/HY6UKyOArI",neutral,,
Human,RT @ImranSaeedKhan1: Time for #PDM leadership @BBhuttoZardari @MaryamNSharif To ask this indifferent #PTIGovernment what happened to #Cov…,agree,,
Capital TV,"Federal government will not create hurdles in the opposition’s protests: Sheikh Rasheed 

#CapitalTV #PTIGovernment… https://t.co/umaNjFD2ZK",agree,,
India Blooms,"PTI foreign funding case: PDM to march to ECP's office in Islamabad on Jan 19
https://t.co/Xq2oY00dMf
#PDM,… https://t.co/9jWU3LxCsi",agree,,
Dr Zulfiqar Ahmed,"RT @92newschannel: Sheikh Rasheed terms Broadsheet as a case like Panama #sheikhrasheed #PDM #Panama
https://t.co/x61efApabX https://t.co/t…",disagree,,
Farah Adeed,"Govt. is openings schools, colleges and universities. It seems pandemic is under control. So it's time for #PDM to… https://t.co/CF2JyZlu0w",agree,,
khan afsar khan,"RT @92newschannel: Sheikh Rasheed terms Broadsheet as a case like Panama #sheikhrasheed #PDM #Panama
https://t.co/x61efApabX https://t.co/t…",disagree,,
92 News HD Plus,"Sheikh Rasheed terms Broadsheet as a case like Panama #sheikhrasheed #PDM #Panama
https://t.co/x61efApabX https://t.co/tzTRYRKqZe",disagree,,
Ahmad,"@khaleejtimes Common pakistani people currently facing 
1. Incompetent @ImranKhanPTI govt
2. Corrupt Opposition par… https://t.co/8cJByqoCzY",angry,,
9 News,"Law will come into force if opposition disturbs peace while protesting: Sheikh Rashid
#SheikhRasheed #PDM #Pakistan… https://t.co/MPKN7eGS4H",disagree,,
???? Sher Ali Khan ????,"The Prophet Muhammad PBUH said: A Muslim cannot be a LIAR. – Bukhari Muslim
It means;
#PDM and #Judiciary,… https://t.co/PYaSLsfqLP",neutral,,
abid baloch,RT @NDaultana: Priorities! If only they stop making #PDM their agenda and start focusing on governing for once,disagree,,
LIN Shaodun,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still g… https://t.co/483NPzcyuA",neutral,,
khizar sikander bikak,RT @NDaultana: Priorities! If only they stop making #PDM their agenda and start focusing on governing for once,disagree,,
Ziaudin Baloch,RT @BBhuttoZardari: Pakistan democratic movement is an important step towards a democratic Pakistan. Like the MRD &amp; ARD movements resisting…,agree,,
Nation Voice PK,"https://t.co/Gtf8ypKZZZ
#PDM is in fear stage and its have none narrative.
@GovtofPakistan #Shahmehmoodqureshi… https://t.co/Z7Mme8lc6l",disagree,,
IDEAL GRP,"Product data management (PDM) can bring together the product data, people, and processes that are most essential to… https://t.co/tdzGaA3Hb9",angry,,
Public News,"Ye Log Thook kar Chat rahay hain | Sheikh Rasheed lashes out on opposition | media talk today

Link:… https://t.co/2X03JfEbdY",angry,,
????? ????,"Hi all who are affiliated with #PDM and their Helping hands in Sellout Media.

This is for you.????
#PMIK 
https://t.co/DyHiWGy1dy",angry,,
Bashir NichariPPP,RT @ImranSaeedKhan1: Time for #PDM leadership @BBhuttoZardari @MaryamNSharif To ask this indifferent #PTIGovernment what happened to #Cov…,agree,,
Balochistan,"“We are aware about the internal differences of #PDM”
@SMQureshiPTI 

“All the interests and eyes of All the Minist… https://t.co/K87Q1SPx2D",disagree,,
Tipu,RT @siasatdania: Dedicated to #PDM,agree,,
23 News,Federal Minister for Railways #SheikhRasheed warns that #PDM chief #MaulanaFazlurRehman should not make provocative… https://t.co/7bXih7cU9f,disagree,,
????? ??????,Dedicated to #PDM https://t.co/GsOyapAFOI,agree,,
Farhan Ali ????,#PDM Announce to Come to Islamabad https://t.co/qkICmfaxzd,agree,,
DR KHAN,"InshaAllah Confession in Foreign Funding Case will Prove Last Nail in Tabdeeli &amp; Imran,s Political Coffin ??.
Wait… https://t.co/5cnKue1QuQ",angry,,
Andrin Krause,1/1-Has #ImranKhanPTI noted this point? #PDM has cleared that they don't have any agenda against your master… https://t.co/LezbKIiqIW,agree,,
DR KHAN,"@titojourno @AnsarAAbbasi Ansar Abassi is doing analysis after interviews of @ShaziaAttaMarri &amp; #RanaSanaUllah, But… https://t.co/OkYNyJMJZk",neutral,,
Abdul????????IK??,Check out Waqas Aslam's video! #TikTok #pdm https://t.co/PSiOpXm30u,neutral,,
Musa73UK,@ISpeakHenceIAm That’s after #Quetta #NAB #foreignfundingcase #PDM,neutral,,
Hi moon,RT @arifjamallodhi: Deceiving his base minions by showing them his affinity for the #Taliban ; Molana #FazlurRehman is found involved earni…,angry,,
ZainabYasir,"RT @AmirZia1: #PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI, while the…",disagree,,
Fatah,RT @ImranSaeedKhan1: Time for #PDM leadership @BBhuttoZardari @MaryamNSharif To ask this indifferent #PTIGovernment what happened to #Cov…,agree,,
Magesh Veeramani,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still g… https://t.co/qYvNwjoOOy",neutral,,
Natasha Daultana,Priorities! If only they stop making #PDM their agenda and start focusing on governing for once https://t.co/LjTsGXeDkT,disagree,,
ALI IMRAN CHEEMA,"PML-N nominates two women for Sialkot,Gujranwala By-Polls
#ByPolls #PMLN
#Sialkot #Gujranwala
#MaryamNawaz… https://t.co/z5AMq9lLpZ",agree,,
Baji,RT @ImranSaeedKhan1: Time for #PDM leadership @BBhuttoZardari @MaryamNSharif To ask this indifferent #PTIGovernment what happened to #Cov…,agree,,
khalidbukhari,"Nevertheless, this is a very sharp turn in the Political History of Pakistan.#Corruption #democracy #Government… https://t.co/l1m3gspO48",disagree,,
Bashir Nichari,RT @ImranSaeedKhan1: Time for #PDM leadership @BBhuttoZardari @MaryamNSharif To ask this indifferent #PTIGovernment what happened to #Cov…,agree,,
iSk Real,Time for #PDM leadership @BBhuttoZardari @MaryamNSharif To ask this indifferent #PTIGovernment what happened to… https://t.co/y3dVww1wuk,agree,,
ASAD USMANI,"GREAT PM IMRAN KHAN
#PDM KICKOUT BY ALL PUBLIC 98% SUCKERS LOOSERS BUZZOFF https://t.co/nT7tbXodsS",disagree,,
Salahuddin Gandapur,He looks like he is Haji and knows Islam but deny inheritance rights to his sister #Pakistan #PDM https://t.co/pHjMMaHNZd,angry,,
???rticulate??,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
Asad Ali Toor,Kaira said that in his view the destination of the long march should be Islamabad. He added that any confrontation… https://t.co/WkA7Q24xJg,agree,,
Mwaqar - #Dr.FAUCI: ''MASKS WORK. USE THEM'',"Video - #KhabarSayAagay #NayaDaur #PDM - Muhammad Ali Durrani On Meetings With Shehbaz Sharif, And His Efforts For… https://t.co/FgoA45ZQID",agree,,
Rashid Bhatti,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Chair…",agree,,
noor aawan,"Hahahaha????????. The time &amp; luck is utterly &amp; rightly going against #PMLN, #PDM along wiv their… https://t.co/0EUUUmAIc1",sarcastic,,
Daud Mazhar,RT @arifjamallodhi: Deceiving his base minions by showing them his affinity for the #Taliban ; Molana #FazlurRehman is found involved earni…,angry,,
Engr Muhammad Asim Khan,I am lookiing forward for #schoolsreopening in the country but I am pretty sure that we are going again to… https://t.co/sGyKoha7HW,neutral,,
Inside Pakistan With Muhammad Zafeer,"RT @INSIDEPAKISTAN2: Watch Tonight 10:05 PM On K21 News
Repeat at 11:05 AM
#PPP
#PTI
#PDM
#Government
#K21News
#InsidePakistanwithMuhammadZ…",sarcastic,,
Ali,@OfficialDGISPR @GovtofPakistan @ImranKhanPTI when will u start to understand #pdm and their united parties trying… https://t.co/gFDHZhJjQp,agree,,
Mwaqar - #Dr.FAUCI: ''MASKS WORK. USE THEM'',"Video - #KhabarSayAagay #NayaDaur #PDM - Muhammad Ali Durrani On Meetings With Shehbaz Sharif, And His Efforts For… https://t.co/0Z6XFhLLAd",agree,,
Paul Munford,"RT @stoneformation: Want a glimpse of what's on the horizon for 
@AutodeskVault? Be sure to check out our roadmap - see how we intend to ma…",agree,,
Umar Zaman,Truth can’t be hidden for long. Corrupt Puppet Party exposed. PM Select @ImranKhanPTI blamed others for his own cri… https://t.co/fNW1700DW3,agree,,
Michelle Stone,"Want a glimpse of what's on the horizon for 
@AutodeskVault? Be sure to check out our roadmap - see how we intend t… https://t.co/vTl1JLfnlz",agree,,
IDEAL GRP,Forest machine manufacturer Logset Oy solved their product data management issue with the Teamcenter product packag… https://t.co/ZUUVy5yQ0r,neutral,,
Ali,"@OfficialDPRPP I know following things
Khaniwal killing
Rao anwar
Islamabad incidence 
Model town
Catching love bir… https://t.co/baPjk9BKWl",neutral,,
talath Naqvi,Twits like Raza Rumi trying their hand at #SpinDoctoring! #PDM #Blackmailing tactics have failed &amp; @OfficialDGISPR… https://t.co/TYfp6VfeNI,angry,,
Muhammad Najeeb,Historic sketch with central committee of QWP in the presence of chairmain (Milee rehbar) and my oriental jamil ma… https://t.co/5Eeghluq5F,sarcastic,,
Mrs.Raza,"RT @appcsocialmedia: Law to take action if #PDM protest goes against law; @Farogh_NaseemPK 

#APPNews 

https://t.co/Ig6y50YEC6 https://t.…",angry,,
Naz PTI #lufc #spce,"To the corrupt #PDM 11 another slap in your faces!

@ImranKhanPTI Zindabad!

Keep the great work going!

#Pakistan… https://t.co/KFxx9vfcHU",disagree,,
Umar Zaman,"PM Select @ImranKhanPTI has no shame in constantly lying. He’s robbing and degrading Pakistan, fully exposed now, h… https://t.co/oXv4jfh73N",angry,,
Abdul Salam Dadabhoy,RT @arifjamallodhi: Deceiving his base minions by showing them his affinity for the #Taliban ; Molana #FazlurRehman is found involved earni…,angry,,
Sara Munir????????????????,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
ymediagroup,"PDM questions PTI foreign funding case
#southasiandaily #ymedia #PDM 
@YudhvirJaswal 
https://t.co/fiMyzfPj9z",agree,,
Zahid Danish Waziri,"RT @arbab_jahangir: #PDM #gilgitelectionwhitepaper #senateelection #ByElection2021 #govtpriorities #PCB with @betterpakistan at 11pm
@Aami…",neutral,,
Umar Zaman,Truth can’t be hidden for long. The Fraudulent Puppet Party. #ForeignFundingCase #CorruptPuppetNiazi… https://t.co/Ik7aKzlMLt,agree,,
Anees Jillani,@MaryamNSharif @SenatorEB17 If #PTIGovernment carries out the Rs 11 increase in petrol price tomorrow and the #PDM… https://t.co/IFMOdiJTb9,neutral,,
arbab jahangir,Discussion on #PDM future strategy #senateelection #ByElection2021 #Broadsheet &amp; #track2dialogue with… https://t.co/jHi6da1qgq,neutral,,
mEhrii,"RT @BlissfulSahir: When you reach the end of your rope, tie a knot in it and hang on.

-Franklin D. Roosevelt

#imrankhanPTI 
#PTI 
#PAKIST…",neutral,,
Aijaz Ali Memon,"RT @AamNewsOfficial: The #PMLN spokesperson said that all routes of the #rally had been decided and all preparations had been completed.
""P…",agree,,
Aijaz Ali Memon,"RT @AamNewsOfficial: The #PMLN spokesperson said that all routes of the #rally had been decided and all preparations had been completed.
""P…",agree,,
arbab jahangir,#PDM #gilgitelectionwhitepaper #senateelection #ByElection2021 #govtpriorities #PCB with @betterpakistan at 11pm… https://t.co/2BWxUZmkBs,neutral,,
Mehboob Qadir,RT @mawish_m: 'The state needs to act regarding PDM hate speech before violence erupts in the streets of this country' writes @SrasheedSalm…,angry,,
Aam News,The #PMLN spokesperson said that all routes of the #rally had been decided and all preparations had been completed.… https://t.co/tigEEWCRxc,agree,,
Kafia Shah .... (????),"RT @AitzazH5: Chairman PPP @BBhuttoZardari , Saviour of Democracy President @AAliZardari and @sherryrehman Participated #PDM Meeting via Vi…",agree,,
APP ????,"Law to take action if #PDM protest goes against law; @Farogh_NaseemPK 

#APPNews 

https://t.co/Ig6y50YEC6 https://t.co/s4YMocNPS7",angry,,
Fiaz Ahmed Khan,"RT @KhaberToday: PPP Will Not Go Along PDM March Towards Rawalpindi Or GHQ - Arif Hameed Bhatti
@arifhameed15 
#PPP
#PDM

https://t.co/r5mA…",agree,,
Maliha khan,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
Tousif Ahmed,Hence proved #PTIGovernment FAKE and FRAUDULENT so I request all #PDM and @MaryamNSharif @BBhuttoZardari… https://t.co/iZtfBDLzeC,agree,,
P R O S O C I A L,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
Team ML ????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Javed Iqbal,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
Sadaqat jhedu IVF,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
kashif randhawa,"RT @AmirZia1: #PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI, while the…",sarcastic,,
Baaghi TV ???? ?? ??,"Fawad Chaudhry criticises opposition for maligning state institutions
https://t.co/XLTVKa1lgV
#FawadChaudhry #PDM",disagree,,
ahmad hassan,"RT @The_Nation: Madrassa students must not be allowed to attend PDM rallies: PM Imran
https://t.co/yItcyOIrH7

#PDM 

@ImranKhanPTI https:/…",disagree,,
Saad,RT @etribune: Interior Minister #SheikhRashid on Thursday asked Pakistan Democratic Movement (#PDM) chief Maulana #FazlurRehman to focus on…,neutral,,
@t¡f,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
The Express Tribune,Interior Minister #SheikhRashid on Thursday asked Pakistan Democratic Movement (#PDM) chief Maulana #FazlurRehman t… https://t.co/XRcKzIeIhL,neutral,,
Amber Jehangir,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
Irfan Jilani ™,"RT @mmnewsdottv: Article by:@SrasheedSalman

The state needs to act regarding PDM hate speech before violence erupts in the streets of this…",angry,,
Khurram Shahzad,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Aqsa Mehmood,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Hamid M. Sandhu,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
DesignDataManager,"As well as continually developing DDM to make it more intuitive and effective, we make sure we match this with the… https://t.co/O3MG5xgCzl",agree,,
Advocate Snober Memon,"RT @aamemon: #PDM should think,who is benefiting by making baseless allegations against the army. It is not in the interest of the state of…",disagree,,
Rana Masood Ali,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
JAMIL - Al Bathaa,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
MSM Faisalabad (Official),"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
@abuhadimusa,"RT @appcsocialmedia: @shiblifaraz asks PML-N, PPP to submit evidence of election fraud in #ECP

#APPNews #PDM #corruption @MoIB_Official…",disagree,,
Nimra Butt,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @Nim…,neutral,,
P R O S O C I A L,@sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5… https://t.co/EOUuta24rI,neutral,,
SAYHOON NEWS,The PDM has accused Prime Minister Imran Khan of rigging the 2018 elections with the help of the military but the g… https://t.co/6JUAKozzWH,agree,,
APP ????,"@shiblifaraz asks PML-N, PPP to submit evidence of election fraud in #ECP

#APPNews #PDM #corruption… https://t.co/OygOwUapmQ",agree,,
rahat zaheer,"RT @HayatIrram: You can’t entertain every dog that barks! @ImranKhanPTI So keep calm and let the dogs bark. 

#imranourpride #Kaptaan 

#M…",angry,,
Umar Khan Lohani,RT @AVeteran1956: Untouchable political elite. Why is State so apologetic on arrest of Capt Safdar in case of hooliganism at Mazar e Quaid…,neutral,,
Ahmad Raza Awan,"@TheSERalways Here you go :) Habitual lier party members #PDM would not dare to have some shame.... 
Perjury circu… https://t.co/Ev1CaFnqJM",disagree,,
Daily Qudrat,"#PDM Long March|shaikh rasheed , pervaiz khattak , Shbili Faraz Federal Ministers Press Conference https://t.co/trE3yrCA7N",neutral,,
Manoo,"@MaryamNSharif What u have done to PMLN...#PDM annihilated it ... no one could hv done better than you...
Good going ..
Cheers
Love 
PTT...??",agree,,
RabRaakha,What happened to #PDM @MaryamNSharif what happened to the Aar ya Paar thing . we are missing all those comedy enter… https://t.co/zhy26E0sTt,sarcastic,,
Varun Vohra,#PMLN vice president Maryam Nawaz is also expected to attend the #PDM show in Loralai and former Prime Ministers Yo… https://t.co/oYwSgzmZJ9,agree,,
Varun Vohra,"#PDM chief Fazlur Rehman expects huge turnout at Loralai rally

A no of rallies hv bn organised in #Malakand,… https://t.co/J6czHXhhsw",agree,,
Hassan Mustafavi ????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Vishakha Bansal,"#PDM chief Fazlur Rehman expects huge turnout at Loralai rally

""People's response 2 PDM public meetings is unprece… https://t.co/2TzM8J14Pv",agree,,
??? ??? ??????? ???,"RT @badlaygaapakis2: Our country is being pushed towards Martial Law by criticising the democratic institutes, there should be a strict act…",neutral,,
GhazalaBaji,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
HasSan MugHal ??????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Hassan,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Ghazala Farooq,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Hammad Mustafa????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
???? ???? ?????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakist…",neutral,,
Team ML ????,"Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan… https://t.co/vLXDHBoDYO",neutral,,
Daud Khattak,@Mashaalradio reports on #PDM public rally in Loralai https://t.co/OhZ6pMeiDB @GandharaRFE @RFERL @RFERLPress,agree,,
Vishal Sehgal,During a public meeting in #Loralai #PDM added that now the political forces would accept only the supremacy of the… https://t.co/XRlPHGybPP,agree,,
Vishal Sehgal,#PDM leaders said that their struggle was not against the army but against the government which had been imposed on… https://t.co/fiWLLmTxO2,agree,,
The Truth International,"government endeavors to protect madrassa students from PDM’s politics - https://t.co/he02eWt8uQ

Click on the link… https://t.co/3tmCXDZmH1",disagree,,
NAV ??,@2Kazmi @ArsalanGhumman Everyone knows their evil faces but still our anchors want them to appear on their show and… https://t.co/tINTnxjmIx,angry,,
HELL ??,#ViratKohli announced to join #PDM bcz uska sath bhi Dhandli Hogyi Hai ?????? https://t.co/4iIq0VyrXP,sarcastic,,
Amin Tantray,#Pakistan Muslim League-Nawaz vice president Maryam Nawaz is also expected to attend the #PDM show in Loralai and f… https://t.co/lHavRgQjAC,agree,,
Amin Tantray,"#PDM chief Fazlur Rehman expects huge turnout at Loralai rally

A number of rallies have been organised since Octob… https://t.co/qojCYsDqwd",agree,,
Majeed Tak,"#PDM chief Fazlur Rehman expects huge turnout at Loralai rally

""People`s response 2 d PDM public meetings is unpre… https://t.co/JkygWCzxBE",agree,,
Andrea Rose,"“We reject this rigged govt. Our fight is for the independence of parliament, implementation of the law, &amp; restorat… https://t.co/uQzbY6QCeB",agree,,
Senseye,"Being proactive with your #predictivemaintenance strategies should lead to success, but more often or not companies… https://t.co/Gj5jonRLtq",agree,,
NAV ??,@Fereeha Seriously? Stop wasting your time on #PDM agenda (Abu bachao muhim)!!,disagree,,
Fereeha@abbtak,"#PDM will be back, but for the time being it is grappling for momentum. Here I tell why? 

https://t.co/um0nxHFdTm",agree,,
????Syed muhammad Abubakar shah????????????,"RT @KhaberToday: PPP Will Not Go Along PDM March Towards Rawalpindi Or GHQ - Arif Hameed Bhatti
@arifhameed15 
#PPP
#PDM

https://t.co/r5mA…",disagree,,
Arif Hameed Bhatti,"RT @KhaberToday: PPP Will Not Go Along PDM March Towards Rawalpindi Or GHQ - Arif Hameed Bhatti
@arifhameed15 
#PPP
#PDM

https://t.co/r5mA…",disagree,,
Kusum Vyas,Request @ImranKhanPTI to stop jumlebazi. Moody’s Investor Service on Wednesday forecast Pakistan economy will grow… https://t.co/2u7PfkoAMS,disagree,,
ASHHAD WRITE??,"Students right now to PDM
#PDM https://t.co/Om1IJlIP1y",neutral,,
"Dr FAB, MD",#US to invest heavily into @BBhuttoZardari as next PM of #Pakistan as per discretion of aunt @HillaryClinton under… https://t.co/Jo3fOrNxFr,disagree,,
Dr Syed Hassan Amin,#PDM and specially noon league wants to drag military into politics by calling for army led overthrow of… https://t.co/gZVqoi2rZI,angry,,
Carlos Filipe Paula Lima,Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows w… https://t.co/G6xoCWNZHc,neutral,,
Dilshad mirani layyah de shan,"RT @ShaistaFaisal_: #?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",neutral,,
Fatima Khan,The scare of #PDM is clear as #ImranKhan plots to thwart the crowd swell. #ImranKhanPTI govt can impose ban on the… https://t.co/fo203bLuPx,disagree,,
Ayesha Khan,"RT @ShaistaFaisal_: #?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",neutral,,
Abdul Rahman,"Fact is opposition parties, even #PDM not dragging #PakArmy in the politics. #ImranKhanPTI putting these words in h… https://t.co/0avdj8Nzts",agree,,
Abdul Basit wazir,#PDM is actually a Confederacy of Parties with inimical manifesto and their future is deemed bleak by the local in… https://t.co/xgqd8pWvd6,disagree,,
Asif Ali Kalhoro.PYO Lark,"RT @AseefaBZ: Thank you to the workers and leadership of all #PDM parties, who braved government tyranny and joined @MediaCellPPP on our 53…",agree,,
Abida Khar,"On 3rd Jan @BBhuttoZardari said-
1. #PDM victory is the victory of #PPP and other groups are conspiring against PDM… https://t.co/8UxDTt5wki",agree,,
Noman Jutt,"RT @ShaistaFaisal_: #?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",neutral,,
Shaista_Faisal,"#?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",neutral,,
Dark Money USA,"RT @appcsocialmedia: #Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_Official 

https:…",disagree,,
Mrs.Raza,"RT @appcsocialmedia: #Broadsheet Company case exposed #corruption of political elite: @ShazadAkbar 

#APPNews #PDM @MoIB_Official 

https:…",disagree,,
saadiashaiq,RT @NawabAliKhan7: When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmood As…,agree,,
Ali Murtaza,"RT @AmirZia1: #PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI, while the…",disagree,,
Khaber Today Official,"PPP Will Not Go Along PDM March Towards Rawalpindi Or GHQ - Arif Hameed Bhatti
@arifhameed15 
#PPP
#PDM

https://t.co/r5mAalKbNY",disagree,,
asad butt,"RT @AmirZia1: #PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI, while the…",disagree,,
Bad man the ..... Mombatti !!!,"RT @AmirZia1: #PDM stands confused, divided... one group of leaders say that their prime target is Prime Minister @ImranKhanPTI, while the…",disagree,,
Nilofer Afridi Qazi,@arifanoor72 There u go.... once again back to square nro.... enjoy #PDM supporters,agree,,
Raquf Qadri,"#PDM is not against Army. Its struggle is against the corruption and dictatorship of federal govt - Fazal-ur-Rehman
https://t.co/AFf00YQOTq",agree,,
Sunil Kumar Yadav (Sky),RT @InseadSky: Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows with integ…,neutral,,
Sunil Kumar Yadav (Sky),RT @InseadSky: Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows with integ…,neutral,,
SAYHOON NEWS,"Maulana Fazlur Rehman, head of Pakistan Democratic Movement (PDM), has said that the decisive time has come and it… https://t.co/CF5Pxd5z08",agree,,
